"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"1";"EdgeConnector";1;"Expansion Pak Edge Connector";;;
2;"U1,U2";"RAM Module";2;"MSM5718B70-60GS-K";;;
3;"C2,C4,C7,C5,C3,C6,C8,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"~";;;
4;"R8,R3,R6";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";3;"47Y";;;
5;"R7,R9,R4,R11,R5,R1,R12,R2,R10";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";9;"51Y";;;
6;"R13";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"Yageo RC0603FR-07510RL";;;
